Target,Prompt,Tweets,Tweets,Tweets
joerogan,"Jamie,","Jamie, I would love to have you on my podcast!","Jamie, you're a fucking bad motherfucker.","Jamie, you're a fucking bad motherfucker."
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let's do it!","Jamie, you're a fucking bad motherfucker!","Jamie, you're a fucking bad motherfucker!"
joerogan,"Jamie,","Jamie, I would love to have you on the podcast!","Jamie, let's do this shit, bitches!","Jamie, let's do this shit, bitches!"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast.","Jamie, let's do this shit together!","Jamie, let's do this shit together!"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast today!","Jamie, you're a bad motherfucker!","Jamie, you're a bad motherfucker!"
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast.","Jamie, let's do this shit up!","Jamie, let's do this shit up!"
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast!","Jamie, you're a bad motherfucker.","Jamie, you're a bad motherfucker."
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let me know!","Jamie, let's do this shit together.","Jamie, let's do this shit together."
joerogan,"Jamie,","Jamie, I would love to have you on my podcast today.","Jamie, you're a bad motherfucker","Jamie, you're a bad motherfucker"
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on the podcast with me.","Jamie, let's do this shit, bitches.","Jamie, let's do this shit, bitches."
